trial,auc,w_exp026_attention_gpu,w_exp026_fttransformer_lite_gpu
135,0.9341534505494506,0.849345398631456,0.15065460136854394
136,0.9338736703296704,0.9135517591198136,0.08644824088018642
137,0.9342425934065933,0.8197245476723852,0.18027545232761472
138,0.9345425934065933,0.44354625332506725,0.5564537466749329
139,0.9330515164835166,0.05776271779042987,0.9422372822095701
140,0.9340348571428574,0.8788217756734273,0.12117822432657269
141,0.933738857142857,0.17876902837649236,0.8212309716235077
142,0.9341564395604396,0.28013718815426825,0.7198628118457316
143,0.9336985054945054,0.9471261208070247,0.05287387919297528
144,0.9337691868131868,0.18607317191914655,0.8139268280808535
145,0.9331413626373627,0.07132085246909105,0.9286791475309089
146,0.9327626373626373,0.018496753401487154,0.981503246598513
147,0.9346146373626374,0.5091269567139509,0.49087304328604925
148,0.9342989450549449,0.3254561909337056,0.6745438090662945
149,0.9345383296703298,0.6976173884112906,0.30238261158870944
150,0.9346231208791208,0.611661316484756,0.38833868351524403
151,0.9335490989010989,0.14175976481591077,0.8582402351840893
152,0.9335627252747253,0.1443547468328812,0.8556452531671188
153,0.9345693186813188,0.6821147767796455,0.3178852232203545
154,0.9345386813186812,0.44042726635506124,0.5595727336449388
155,0.9343704175824176,0.35659737334347147,0.6434026266565285
156,0.9343375384615384,0.7899204640970033,0.21007953590299674
157,0.9339234725274724,0.22014438796304356,0.7798556120369565
158,0.9345786373626374,0.6755674498687161,0.3244325501312839
159,0.934628131868132,0.6012631196030803,0.39873688039691974
160,0.934455912087912,0.741717528838135,0.25828247116186503
161,0.9346259340659342,0.599499724161169,0.400500275838831
162,0.9337116043956044,0.17281550895698597,0.8271844910430141
163,0.934550989010989,0.6921558308927694,0.3078441691072306
164,0.9339905934065934,0.8896466262096921,0.11035337379030788
165,0.9340876043956043,0.26243013737270693,0.7375698626272931
166,0.9342676923076925,0.8120899411472455,0.1879100588527545
167,0.9334444395604395,0.9877936245030711,0.012206375496928875
168,0.9338421098901099,0.9202940085757109,0.07970599142428923
169,0.9335842197802198,0.9659656728177736,0.03403432718222644
170,0.9339604395604395,0.8954974378400268,0.10450256215997326
171,0.9340024175824175,0.8870620225339862,0.11293797746601375
172,0.934639120879121,0.5452476597557279,0.45475234024427214
173,0.9342699780219781,0.31719559615269816,0.6828044038473018
174,0.933891032967033,0.21260973968447922,0.7873902603155207
175,0.9327056263736263,0.011263267847185728,0.9887367321528142
176,0.9344649230769231,0.7373790183326229,0.2626209816673771
177,0.9342815824175825,0.32059390376818836,0.6794060962318116
178,0.9342916923076924,0.32318816506260833,0.6768118349373916
179,0.9345253186813188,0.7064690744375182,0.29353092556248184
180,0.9345344175824176,0.700788689382951,0.29921131061704903
181,0.9337203956043957,0.17455743074441066,0.8254425692555893
182,0.9334814945054944,0.1297568433664091,0.8702431566335909
183,0.9336017142857143,0.15229760987556326,0.8477023901244368
184,0.9337138901098899,0.9443795123234968,0.05562048767650308
185,0.9341036923076923,0.26683913217516275,0.7331608678248374
186,0.9346150769230771,0.5118192773177662,0.4881807226822337
187,0.9344048351648352,0.7632783204932179,0.23672167950678205
188,0.9330329230769232,0.054784723566777854,0.9452152764332221
189,0.9342972747252747,0.8030497322292854,0.19695026777071473
190,0.9338077362637364,0.19397963447131264,0.8060203655286873
191,0.934586989010989,0.6673476490208571,0.3326523509791429
192,0.9345111648351649,0.42329745249883033,0.5767025475011697
193,0.9346285274725274,0.5933447099758977,0.4066552900241024
194,0.9346128351648351,0.5022599741508608,0.4977400258491391
195,0.9339972307692307,0.23668571325151205,0.763314286748488
196,0.9335298901098901,0.13880503316939571,0.8611949668306043
197,0.933396087912088,0.9951703272348389,0.004829672765161185
198,0.9341845274725274,0.28928881694595354,0.7107111830540465
199,0.934547164835165,0.44657215475472833,0.5534278452452717
200,0.9342280439560441,0.8255355830045518,0.17446441699544835
201,0.9342100219780219,0.2967704504228169,0.7032295495771831
202,0.9344228571428572,0.381426916615425,0.6185730833845751
203,0.9334447472527474,0.987767297642108,0.012232702357892011
204,0.9334423296703297,0.9882380990837512,0.011761900916248888
205,0.9337293626373626,0.9419115433617457,0.05808845663825428
206,0.9343627692307691,0.35397546717325784,0.6460245328267422
207,0.933894065934066,0.9097398817488942,0.09026011825110579
208,0.9346151208791207,0.6408061712300784,0.3591938287699215
209,0.9339474285714285,0.8986410590755718,0.10135894092442821
210,0.9335862417582419,0.14835711939077936,0.8516428806092206
211,0.9337062417582418,0.9455580872943795,0.05444191270562052
212,0.9337191208791209,0.9433825102338408,0.056617489766159206
213,0.9345374065934065,0.43988806790764184,0.5601119320923582
214,0.9346081758241759,0.49621819755765095,0.5037818024423492
215,0.9336731868131868,0.9509950579889881,0.04900494201101193
216,0.9346055384615385,0.6538171104264439,0.3461828895735561
217,0.93371410989011,0.17337312372585698,0.826626876274143
218,0.9346115164835165,0.6482501942039897,0.35174980579601023
219,0.9337679999999999,0.18579265116775953,0.8142073488322404
220,0.9336505054945055,0.1622095357820259,0.8377904642179741
221,0.9335414945054946,0.14046999143995606,0.859530008560044
