number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
37,0.9324607472527472,2026-03-29 01:22:43.615089,2026-03-29 01:23:42.679981,0 days 00:00:59.064892,0.7196565062444246,3.7246656437047907,0.013339198310355606,8,3.836993798323242,2500,2.135595252345973,0.03641519638540646,0.6798880015995717,COMPLETE
38,0.9311127252747252,2026-03-29 01:23:42.803815,2026-03-29 01:25:11.794140,0 days 00:01:28.990325,0.7478303817606665,4.90518124154114,0.0118939613600997,8,5.211811474091835,2000,0.04216053046636105,18.62809618803313,0.6495196828864744,COMPLETE
39,0.9325519999999999,2026-03-29 01:25:11.923519,2026-03-29 01:26:04.690145,0 days 00:00:52.766626,0.7814008702897769,4.994958690012109,0.019685470567356284,9,2.4898736229180733,2500,0.2702688876416292,0.013308665971230796,0.7212888087808402,COMPLETE
40,0.9311785934065935,2026-03-29 01:26:04.794149,2026-03-29 01:26:58.569493,0 days 00:00:53.775344,0.8101021969572952,3.9454779839686345,0.012254365714734435,4,10.412351351827175,1000,0.006222656025290279,0.01812399715787141,0.6989125378157327,COMPLETE
41,0.9324066153846153,2026-03-29 01:26:58.678930,2026-03-29 01:27:49.680308,0 days 00:00:51.001378,0.6803218895204917,0.8653668391299322,0.01659427894464505,7,6.380084509994984,1500,2.1368414722701723e-05,0.21094440092959063,0.6617312105032058,COMPLETE
42,0.9324364615384617,2026-03-29 01:27:49.776247,2026-03-29 01:28:31.228149,0 days 00:00:41.451902,0.7278784287565813,1.396337387406754,0.021294480526737727,7,7.798622178562783,1500,0.0006290916618034618,0.005791210303908885,0.7029315565569537,COMPLETE
43,0.9299823296703298,2026-03-29 01:28:31.304738,2026-03-29 01:29:03.689361,0 days 00:00:32.384623,0.7544319504153439,2.8093642661401503,0.06358766820575486,8,4.194134003436082,1000,8.886225713979025,0.061003822077835494,0.6313376495084189,COMPLETE
44,0.9323544615384616,2026-03-29 01:29:03.795960,2026-03-29 01:29:33.531184,0 days 00:00:29.735224,0.6455736557426777,4.624087201764831,0.0507422652184157,7,4.974422014121538,2000,0.0021990717787750734,3.6579105791656077,0.9283916790879218,COMPLETE
45,0.9318568131868131,2026-03-29 01:29:33.647229,2026-03-29 01:30:11.509566,0 days 00:00:37.862337,0.701375684787946,1.2393226554372794,0.03531742316472141,8,3.2177549719545793,3000,0.00042192220821264074,0.09227309013292213,0.7815987231061567,COMPLETE
46,0.9319401098901099,2026-03-29 01:30:11.636942,2026-03-29 01:30:52.244211,0 days 00:00:40.607269,0.7700012176195101,2.36070914324174,0.02633898911987105,8,6.376542856311595,1500,6.560650140346258e-05,9.352187386318576,0.8217348580744148,COMPLETE
47,0.9313396043956046,2026-03-29 01:30:52.340731,2026-03-29 01:32:08.201501,0 days 00:01:15.860770,0.7233116826975043,1.5736718385140345,0.01133159344594251,6,18.828357787357476,2000,0.2948272708985996,0.25614175759567737,0.7523470945264376,COMPLETE
48,0.9321570549450552,2026-03-29 01:32:08.307277,2026-03-29 01:33:02.326309,0 days 00:00:54.019032,0.6712084783256975,1.170632087800693,0.017128122044690282,4,1.8856791427840882,1000,1.9989352209822941,0.567666759210112,0.9015006555687787,COMPLETE
49,0.9325534065934067,2026-03-29 01:33:02.437274,2026-03-29 01:33:35.403611,0 days 00:00:32.966337,0.6355604441999513,0.8260409432580416,0.03189654488656877,7,7.663250572638123,2000,0.011484377069738825,0.045773522922648614,0.6726817022175662,COMPLETE
